Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,206.899994,208.600006,202.350006,202.350006,202.350006,0
2020-07-24,200.199997,200.199997,195.580002,197.479996,197.479996,30
2020-07-27,197.080002,199.479996,196.979996,198.520004,198.520004,0
2020-07-28,200.050003,200.649994,198.399994,199.539993,199.539993,9
2020-07-29,196.639999,198.320007,196.199997,197.000000,197.000000,20
2020-07-30,198.399994,198.399994,194.880005,197.619995,197.619995,20
2020-07-31,209.600006,215.300003,208.800003,214.250000,214.250000,11
2020-08-03,216.050003,216.600006,214.350006,215.199997,215.199997,0
2020-08-04,214.050003,214.699997,211.449997,212.100006,212.100006,3
2020-08-05,212.100006,213.149994,210.149994,211.199997,211.199997,10
2020-08-06,209.949997,222.000000,209.699997,222.000000,222.000000,3
2020-08-07,223.449997,231.500000,221.000000,231.500000,231.500000,35
2020-08-10,228.149994,229.699997,222.500000,224.199997,224.199997,85
2020-08-11,224.000000,225.899994,220.500000,224.649994,224.649994,2
2020-08-12,220.649994,222.699997,219.399994,221.050003,221.050003,145
2020-08-13,219.350006,223.350006,219.350006,220.649994,220.649994,0
2020-08-14,222.399994,222.600006,219.350006,220.750000,220.750000,20
2020-08-17,221.000000,221.850006,219.050003,220.100006,220.100006,23
2020-08-18,219.649994,220.199997,217.800003,219.250000,219.250000,7
2020-08-19,220.149994,224.699997,219.750000,224.000000,224.000000,0
2020-08-20,221.000000,226.000000,220.699997,225.350006,225.350006,13
2020-08-21,227.350006,228.399994,226.850006,227.000000,227.000000,50
2020-08-24,227.050003,233.550003,227.050003,229.000000,229.000000,328
2020-08-25,231.949997,237.750000,229.649994,237.750000,237.750000,31
2020-08-26,238.600006,252.199997,238.449997,250.300003,250.300003,110
2020-08-27,257.000000,257.000000,248.550003,248.550003,248.550003,468
2020-08-28,248.350006,248.350006,245.100006,245.100006,245.100006,32
2020-08-31,248.699997,249.399994,244.350006,246.449997,246.449997,68
2020-09-01,245.899994,251.449997,245.699997,249.500000,249.500000,49
2020-09-02,250.050003,254.800003,249.250000,254.800003,254.800003,10
2020-09-03,255.199997,256.299988,242.649994,244.850006,244.850006,40
2020-09-04,241.000000,245.000000,233.550003,234.800003,234.800003,21
2020-09-07,237.399994,238.000000,235.149994,238.000000,238.000000,74
2020-09-08,237.949997,238.000000,230.899994,233.100006,233.100006,12
2020-09-09,230.550003,234.850006,229.350006,234.000000,234.000000,31
2020-09-10,232.550003,234.100006,230.550003,231.449997,231.449997,30
2020-09-11,228.699997,230.699997,222.600006,222.600006,222.600006,0
2020-09-14,229.050003,232.649994,226.100006,226.100006,226.100006,6
2020-09-15,225.649994,231.399994,225.550003,231.000000,231.000000,0
2020-09-16,224.449997,229.399994,223.800003,223.800003,223.800003,348
2020-09-17,220.550003,221.550003,214.350006,214.350006,214.350006,36
2020-09-18,215.600006,219.000000,211.949997,211.949997,211.949997,22
2020-09-21,213.949997,213.949997,208.449997,212.199997,212.199997,37
2020-09-22,210.399994,216.350006,210.399994,214.500000,214.500000,101
2020-09-23,218.550003,219.300003,215.649994,217.050003,217.050003,100
2020-09-24,210.850006,215.949997,210.850006,214.800003,214.800003,5
2020-09-25,215.050003,216.300003,213.300003,216.300003,216.300003,0
2020-09-28,221.100006,222.949997,219.199997,220.199997,220.199997,5
2020-09-29,221.949997,222.199997,219.899994,220.899994,220.899994,0
2020-09-30,220.000000,226.000000,220.000000,225.250000,225.250000,15
2020-10-01,224.949997,227.600006,224.899994,227.399994,227.399994,0
2020-10-02,223.899994,225.800003,221.350006,222.949997,222.949997,23
2020-10-05,222.300003,224.100006,222.300003,223.550003,223.550003,259
2020-10-06,223.300003,224.350006,222.300003,223.399994,223.399994,0
2020-10-07,220.500000,221.300003,217.550003,218.649994,218.649994,0
2020-10-08,220.149994,224.600006,220.149994,223.750000,223.750000,146
2020-10-09,224.750000,224.899994,222.600006,222.800003,222.800003,0
2020-10-12,225.600006,236.350006,224.850006,236.350006,236.350006,10
2020-10-13,234.000000,237.250000,233.350006,234.850006,234.850006,11
2020-10-14,235.649994,236.600006,231.300003,231.300003,231.300003,15
2020-10-15,230.899994,230.899994,225.699997,225.699997,225.699997,28
2020-10-16,228.399994,230.850006,227.350006,228.100006,228.100006,95
2020-10-19,227.449997,228.399994,223.050003,224.149994,224.149994,0
2020-10-20,222.949997,226.850006,222.800003,226.850006,226.850006,0
2020-10-21,234.550003,237.149994,230.350006,237.149994,237.149994,145
2020-10-22,234.399994,237.649994,232.149994,234.399994,234.399994,25
2020-10-23,235.550003,237.500000,234.199997,236.149994,236.149994,0
2020-10-26,239.199997,240.550003,232.949997,233.500000,233.500000,130
2020-10-27,234.899994,238.949997,234.899994,238.949997,238.949997,50
2020-10-28,239.300003,239.300003,228.949997,229.649994,229.649994,93
2020-10-29,234.699997,242.750000,234.699997,242.750000,242.750000,3
2020-10-30,232.550003,239.100006,223.949997,223.949997,223.949997,54
2020-11-02,227.199997,230.350006,223.600006,223.600006,223.600006,75
2020-11-03,225.050003,229.199997,224.050003,228.899994,228.899994,9
2020-11-04,234.000000,245.550003,231.800003,245.550003,245.550003,13
2020-11-05,248.199997,250.949997,247.800003,250.100006,250.100006,267
2020-11-06,247.250000,247.699997,243.399994,247.699997,247.699997,0
2020-11-09,250.350006,253.000000,242.850006,242.850006,242.850006,53
2020-11-10,236.449997,237.149994,225.000000,227.149994,227.149994,43
2020-11-11,232.399994,236.449997,231.949997,233.500000,233.500000,11
2020-11-12,234.149994,237.050003,234.149994,234.500000,234.500000,85
2020-11-13,234.399994,235.350006,231.750000,232.600006,232.600006,0
2020-11-16,235.300003,236.000000,232.399994,233.750000,233.750000,7
2020-11-17,233.899994,235.350006,231.250000,233.199997,233.199997,0
2020-11-18,231.199997,233.649994,231.000000,231.100006,231.100006,0
2020-11-19,230.050003,230.199997,228.000000,229.600006,229.600006,10
2020-11-20,229.100006,230.899994,227.899994,229.149994,229.149994,0
2020-11-23,228.899994,228.899994,224.449997,226.500000,226.500000,0
2020-11-24,228.300003,231.149994,225.800003,231.050003,231.050003,8
2020-11-25,233.350006,233.800003,229.850006,231.949997,231.949997,9
2020-11-26,232.250000,233.050003,231.000000,232.600006,232.600006,0
2020-11-27,233.600006,233.600006,230.699997,231.800003,231.800003,1
2020-11-30,233.600006,233.600006,228.050003,228.899994,228.899994,15
2020-12-01,234.199997,239.399994,232.050003,239.149994,239.149994,59
2020-12-02,236.800003,240.399994,233.100006,238.199997,238.199997,0
2020-12-03,236.350006,236.699997,232.449997,233.149994,233.149994,0
2020-12-04,232.399994,233.149994,230.800003,231.149994,231.149994,0
2020-12-07,231.100006,237.250000,229.899994,235.899994,235.899994,11
2020-12-08,235.050003,236.000000,233.250000,234.399994,234.399994,212
2020-12-09,233.850006,236.449997,229.899994,229.899994,229.899994,0
